S_bar,W
0.5,0.0
0.49290893416793946,0.499
0.49793772799081387,0.515
0.5000047409637072,0.505
0.4899871956512562,0.466
0.48926593684694014,0.498
0.4874921528024265,0.494
0.4874610687262547,0.47
0.49137408408063793,0.513
0.49204284905164863,0.495
0.49124627887859984,0.474
0.49120315694660155,0.487
0.48827633147126814,0.481
0.48244065898494365,0.477
0.4857498458152546,0.485
0.48780894270555225,0.487
0.4850552095242456,0.489
0.48209984159426084,0.477
0.47928771936957554,0.487
0.474694872116907,0.472
0.4725652919341269,0.462
0.47441489465591047,0.483
0.4708802765048993,0.463
0.47247188947973834,0.477
0.4702972030382273,0.499
0.46947487320472625,0.463
0.4704001946271704,0.472
0.47394457806774776,0.455
0.4732929537055016,0.489
0.47479460718102817,0.485
0.4743852052896831,0.47
0.470661097399753,0.453
0.47440207794397965,0.494
0.4762307739640527,0.471
0.4779205300549274,0.466
0.4829828622134379,0.507
0.48648826932528644,0.503
0.48689200564159174,0.495
0.48778356392134664,0.492
0.491521742894251,0.49
0.4977426137107752,0.512
0.5020685347412717,0.491
0.5034692965427544,0.502
0.5033281902004098,0.484
0.5021702118453486,0.489
0.4974268217611509,0.478
0.4982720718060089,0.505
0.4991402112293681,0.518
0.49952802166574545,0.521
0.5019244891839744,0.537
0.4970338869211888,0.486
0.4998817729977051,0.5
0.5025754487545834,0.495
0.5002882766897301,0.49
0.5053526903870734,0.498
0.5014376710123631,0.504
0.49813767958046584,0.479
0.4973447940796659,0.514
0.49660865911614704,0.485
0.49353401250814977,0.495
0.49468246534530225,0.489
0.49249831281731643,0.496
0.48893700093997783,0.468
0.49627897157887907,0.501
0.4935739268222909,0.477
0.49748057877147256,0.494
0.49797831732556297,0.49
0.49644653009700374,0.48
0.4973198165472181,0.514
0.49793599647775055,0.494
0.498766177089476,0.493
0.4941646207686182,0.483
0.491015811526284,0.481
0.4894925106080044,0.482
0.4921694741215938,0.501
0.49020122732601906,0.504
0.49129925742126657,0.485
0.4912107711198399,0.492
0.49168197976526357,0.498
0.48979448762775585,0.48
0.48919636139742306,0.493
0.48983733928027995,0.488
0.4968690630115225,0.476
0.4911367879050058,0.475
0.48883994071758535,0.52
0.49048985576974746,0.504
0.48867686683158446,0.478
0.4852677211981644,0.483
0.4816090691139357,0.476
0.48211403193339014,0.498
0.48773374268011,0.526
0.48511550418339605,0.488
0.47695765508006266,0.459
0.47647858363993145,0.473
0.47659100576668845,0.47
0.4705018794566206,0.471
0.47059615786327447,0.48
0.4730370692624991,0.468
0.47412338457866154,0.457
0.4695811104739481,0.447
0.46176060514010314,0.457
0.4608800113106265,0.449
0.46284825736757945,0.44
0.46550291311713904,0.487
0.4620437634461472,0.476
0.4656118966150111,0.483
0.46384050312121383,0.464
0.4622928697116138,0.447
0.46390703803252425,0.471
0.467324314653302,0.492
0.46567506318476,0.457
0.470182095044998,0.476
0.47340722359636034,0.472
0.4730473933572765,0.456
0.47770014302216696,0.493
0.4794827782806233,0.469
0.48459112586577546,0.493
0.49013012107725773,0.488
0.4910151810669171,0.496
0.4900332809575995,0.493
0.494124561051793,0.516
0.49557650320433877,0.501
0.49488002067008197,0.483
0.49379066258080845,0.466
0.49519930589684347,0.527
0.49523740236088554,0.492
0.4937639527460768,0.456
0.4936583621966711,0.51
0.4901344335527671,0.492
0.4980285204648834,0.508
0.49969504537824,0.507
0.49833185530429736,0.497
0.49993409499704344,0.513
0.5072059272147545,0.526
0.505202739680773,0.506
0.5069354791242289,0.494
0.5134742160166581,0.538
0.5142387111934129,0.52
0.5186613137385621,0.519
0.5134196503479196,0.511
0.5148957976142153,0.518
0.5168183744767837,0.503
0.51524635470161,0.525
0.5120254763738888,0.518
0.5112225116740807,0.489
0.5089205197295843,0.499
0.5069254513894477,0.537
0.5109580354280011,0.54
0.5109204357281478,0.519
0.5136079686720142,0.527
0.5141141394450437,0.521
0.5195568401158511,0.53
0.5183732101277393,0.507
0.5226159511642257,0.523
0.5265117248568202,0.526
0.5284608359101377,0.524
0.5251175631757672,0.513
0.5231461025240265,0.55
0.5231954919904824,0.517
0.5211924476679265,0.501
0.5186921423882673,0.496
0.5122820156286134,0.504
0.5154176994000209,0.512
0.5109962914880253,0.516
0.5088137814729385,0.506
0.5083587317967189,0.494
0.5117131959072757,0.518
0.5083809971521365,0.494
0.5066071895975491,0.509
0.5052258672340009,0.517
0.5038418920173244,0.495
0.5056351536451159,0.505
0.5048166278679735,0.501
0.5020810522267961,0.491
0.5031820623869961,0.513
0.5064862216653595,0.526
0.5023784976589539,0.486
0.4994993707357009,0.495
0.4995401628817432,0.512
0.49984315417462755,0.482
0.5035692050212498,0.521
0.5053425672561866,0.512
0.5073227978721404,0.515
0.5139221298216149,0.531
0.5105202393485777,0.493
0.5069470792827002,0.525
0.509317664359603,0.492
0.5128461025261432,0.52
0.5147905807517671,0.521
0.5173750871081241,0.484
0.5164277659447168,0.495
0.5174040816136626,0.531
0.5137262429803274,0.496
0.5117212736094782,0.525
0.5156293739460636,0.521
0.5180355001434088,0.514
0.518447896201208,0.514
0.5173583888969367,0.496
0.5152145240351119,0.512
0.5137091371701409,0.519
